date,x_block,x_critical,x_serious,x_medium,y_block,y_critical,y_serious,y_medium
20191125100020,0,2,14,132,0,0,0,0
20191125120018,0,2,14,132,0,0,0,1
20191125140018,0,2,15,132,0,0,1,1
20191125160020,0,2,16,132,0,0,4,1
20191125180020,0,2,19,136,0,0,7,5
20191125200022,0,2,19,135,0,0,7,4
20191125220022,0,2,20,135,0,0,7,4
20191126000020,0,2,21,135,0,0,8,4
20191126020024,0,2,21,135,0,0,8,4
20191126040020,0,2,21,135,0,0,8,4
20191126060021,0,2,20,130,0,0,8,4
20191126080023,0,2,20,130,0,0,8,4
20191126100020,0,2,20,130,0,0,8,4
20191126120020,0,2,20,130,0,0,8,4
20191126140021,0,1,20,129,0,1,9,5
20191126160023,0,1,22,130,0,1,12,6
20191126180020,0,1,22,131,0,1,12,8
20191126200023,0,1,22,131,0,1,11,9
20191126220025,0,1,22,131,0,1,11,9
20191127000021,0,1,22,131,0,1,11,9
20191127020022,0,1,22,129,0,1,11,9
20191127040023,0,1,22,129,0,1,11,9
20191127060022,0,1,23,129,0,1,12,9
20191127080022,0,1,23,129,0,1,12,9
20191127100022,0,1,22,129,0,1,12,9
20191127120021,0,1,21,127,0,1,11,9
20191127140020,0,1,22,125,0,1,12,9
20191127160021,0,1,22,124,0,1,13,9
20191127180023,0,1,25,125,0,1,16,10
20191127200026,0,1,25,125,0,1,16,11
20191127220023,0,1,25,125,0,1,16,11
20191128000023,0,1,25,125,0,1,16,11
20191128020024,0,1,22,120,0,1,16,11
20191128040022,0,1,23,120,0,1,17,11
20191128060024,0,1,23,120,0,1,17,11
20191128080024,0,1,23,120,0,1,17,11
20191128100023,0,1,21,120,0,1,17,11
